sku,name,category,description,size,material,price,image,featured
125099-12,Graceful Koi Fish,3d,,70.5 x 6 x 110.5 cm,Copper Plate,"PHP 29,999.00",125099-12.jpg,
125029-12,Serenade of the Koi,3d,,110 x 6 x 70 cm,Copper,"PHP 29,999.00",125029-12.jpg,
125057-20,Koi Embrace,3d,,160 x 5 x 80 cm,Wood,"PHP 17,999.00",125057-20.jpg,
124176-10,Leaves,3d,,57 x 4 x 94 cm,Metal,"PHP 4,999.00",124176-10.jpg,Yes
125092-17,Resin Last Supper,3d,,149 x 6 x 72 cm,Resin,"PHP 6,999.00",125092-17.jpg,
124133-5,Last Supper,3d,,60.5 x 6 x 43 cm,Resin,"PHP 2,799.00",124133-5.jpg,
1325242-10,Golden Bloom Series,3d,,80 x  3.5 x  80 cm,Canvas,"PHP 4,999.00",1325242-10.jpg,Yes
1325237-10,Golden Bloom Series,3d,,80 x  3.5 x  80 cm,Canvas,"PHP 4,999.00",1325237-10.jpg,
124112-4,Geometric,3d,,49.5 x 4 x 49.5 cm,Leatherette,"PHP 2,299.00",124112-4.jpg,
124177-6,Landscape,3d,,60 x 4 x 60 cm,Leatherette,"PHP 3,999.00",124177-6.jpg,Yes
M21022-10,Decorative Mirror Crysteline ,mirror,,90 x 4 x 70 cm ,Decorative Mirror,"PHP 10,999.00",M21022-10.jpg,Yes
824062-6,Decorative Mirror,mirror,,61 x 2.5 x 61 cm,Wood,"PHP 2,299.00",824062-6.jpg,
824061-6,Decorative Mirror,mirror,,59.5 x 2 x 59.5 cm,Wood,"PHP 2,299.00",824061-6.jpg,
M22005-6,Plastic Round Mirror - Heru,mirror,,60 x 7 x 60 cm ,Plastic,"PHP 1,999.00",M22005-6.jpg,
M22003-6,Plastic Round Mirror - Zenna,mirror,,59 x 6 x 59 cm ,Plastic,"PHP 1,999.00",M22003-6.jpg,
M22001-5,Plastic Round Mirror - Tamara,mirror,,51 x 5 x 51 cm ,Plastic,PHP 999.00,M22001-5.jpg,
825005-9,Celestial Mirror,mirror,,62 x  3 x  91 cm,Plastic,"PHP 3,999.00",825005-9.jpg,
825004-9,Celestial Mirror,mirror,,76 x  3 x  76 cm,Plastic,"PHP 3,999.00",825004-9.jpg,
1324254-17,Last Supper,wallart,,144 x 5 x 76 cm,Canvas,"PHP 12,999.00",1324254-17.jpg,
1325177-15,Tree of Prosperity,wallart,,70.5 x 3.5 x 141 cm,Oil Painting,"PHP 6,999.00",1325177-15.jpg,Yes
1325178-12,Whispers of the Wind,wallart,,60.5 x 3.5 x  120.5,Oil Painting,"PHP 4,999.00",1325178-12.jpg,
1325053-12,Abstract Cubist-Style Portraits,wallart,,73 x  2 x  103 cm,Print on Glass,"PHP 3,999.00",1325053-12.jpg,Yes
1325041-12,Tulips,wallart,,73 x  2 x  103 cm,Print on Glass,"PHP 3,999.00",1325041-12.jpg,
1325052-12,Abstract Cubist-Style Portraits,wallart,,73 x  2 x  103 cm,Print on Glass,"PHP 3,999.00",1325052-12.jpg,
1325102-8,Seaside Serenity,wallart,,58 x  4 x  78.5 cm,Canvas,"PHP 3,299.00",1325102-8.jpg,
1325211-18,Contour Motion,wallart,,128.5 x  3 x  88.5 cm,Canvas,"PHP 7,999.00",1325211-18.jpg,
1325007-12,Abstract,wallart,,73 x 2 x 103 cm,Print on Glass,"PHP 3,999.00",1325007-12.jpg,
1325129-10,Whispers of the Sea,wallart,,78.5 x  5 x  78.5 cm,Leatherette,"PHP 4,999.00",1325129-10.jpg,
1325128-10,GeoSplice,wallart,,78.5 x  5 x  78.5 cm,Leatherette,"PHP 4,999.00",1325128-10.jpg,
1325125-10,Skylines & Dreams,wallart,,78.5 x  5 x  78.5 cm,Leatherette,"PHP 4,999.00",1325125-10.jpg,
1124042-1,Swan Copper Natural Blue White Crystal Marble ,tabledecor,,8 x 15 x 26 cm,Copper Crystal,"PHP 6,999.00",1124042-1.jpg,
